,DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,HM_FLAG,PC_FLAG,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,MAILING_STREET,MAILING_CITY,MAILING_STATE,MAILING_ZIP,MAILING_COUNTRY,TELEPHONE,FAX,EMAIL_ADDRESS,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,ADD_DATE,OIC_STATE,NBR_POWER_UNIT,DRIVER_TOTAL,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,VMT_SOURCE_ID
470700,2006482,EXTERIOR DESIGN FENCE CORP,,C,N,Y,1436 ILLINOIS AVE,BAYSHORE,NY,11706,US,1436 ILLINOIS AVE,BAYSHORE,NY,11706,US,(516) 304-6423,(516) 485-2379,NEGIL22@HOTMAIL.COM,21-FEB-12,205914.0,2011.0,12-MAR-10,NY,2.0,1,0,0,
470701,2006483,THE GROUND CREW LLC,,C,N,N,4504 N TEXAS AVE,BRYAN,TX,77803,US,PO BOX 5408,BRYAN,TX,77805,US,(979) 822-3788,(979) 778-3002,SKENLEY@THEGROUNDCREWLLC.COM,12-MAR-10,,,12-MAR-10,TX,3.0,3,0,0,
470702,2006484,PRONUCO INC,,C,N,N,1908 JEWELL DR,KNOXVILLE,IA,50138-8819,US,1908 JEWELL DR,KNOXVILLE,IA,50138-8819,US,(641) 628-9575,,,26-FEB-10,,,12-MAR-10,IA,6.0,3,0,0,
470703,2006485,US SOLAR MOUNTS,,C,N,N,3498 ACORN AVE,SPARTA,WI,54656,US,3498 ACORN AVE,SPARTA,WI,54656,US,(608) 272-3999,(608) 272-3544,ERIC@USSOLARMOUNTS.US,22-JAN-18,10000.0,2010.0,12-MAR-10,WI,1.0,1,0,0,
470704,2006488,RONALD W VRABEL,VRABEL FARMS,C,N,N,1510 WEST CLARK ST,BARTLETT,TX,76511,US,1510 WEST CLARK ST,BARTLETT,TX,76511,US,(254) 527-3778,(254) 527-3333,,01-MAR-10,0.0,,12-MAR-10,TX,1.0,1,0,0,
470705,2006489,KENNETH L DAVIDSON,TIRE PATROL,C,N,N,5660 N CREASY SPRINGS RD,COLUMBIA,MO,65202,US,5660 N CREASY SPRINGS RD,COLUMBIA,MO,65202,US,(573) 864-5583,,,12-MAR-10,,,12-MAR-10,MO,3.0,2,0,0,
470706,2006491,KWIKSPACE GUAM INC,KWIKSPACE,C,N,N,256 MARINE CORPS DRIVE ROUTE 1,PITI,GU,96915,US,PO BOX 3278,HAGATNA,GU,96932,US,(671) 479-5945,(671) 479-0900,KWIKSPACE@TELEGUAM.NET,30-DEC-21,1.0,2020.0,12-MAR-10,HI,4.0,4,1,2020,1.0
470707,2006493,HENRYJOSEPH LAMBERTI,,C,N,N,19242 WALDRON STREET,ROSEVILLE,MI,48066,US,19242 WALDRON STREET,ROSEVILLE,MI,48066,US,(586) 771-5306,,,12-MAR-10,118000.0,2009.0,12-MAR-10,MI,1.0,1,0,0,
470708,2006494,KLINE FAMILY FARMS INC,,A,N,N,1532 NORTH CO RD 325 WEST,HARTFORD CITY,IN,47348,US,1532 NORTH CO RD 325 WEST,HARTFORD CITY,IN,47348,US,(765) 499-0608,,KLINEFAMILYFARMS@GMAIL.COM,11-FEB-21,5000.0,2018.0,12-MAR-10,IN,1.0,2,5000,2018,1.0
470709,2006496,FIRST WAY TRANSPORT LLC,,A,N,N,968 CALLE ROBALO,RIO RICO,AZ,85648,US,968 CALLE ROBALO,RIO RICO,AZ,85648,US,(520) 841-0673,,FIRSTWAYTRANSPORT@GMAIL.COM,23-JAN-22,50000.0,2021.0,12-MAR-10,AZ,2.0,2,50000,2021,1.0
