,DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,HM_FLAG,PC_FLAG,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,MAILING_STREET,MAILING_CITY,MAILING_STATE,MAILING_ZIP,MAILING_COUNTRY,TELEPHONE,FAX,EMAIL_ADDRESS,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,ADD_DATE,OIC_STATE,NBR_POWER_UNIT,DRIVER_TOTAL,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,VMT_SOURCE_ID
1562100,3676141,F&R LANDSCAPING AND CONSTRUCTION LLC,,A,N,N,31 LAWTON AVE APT 2,LYNN,MA,01902-3891,US,31 LAWTON AVE APT 2,LYNN,MA,01902-3891,US,(781) 854-1238,,FRLANDSCAPINGANDCONSTRUCTION@GMAIL.COM,22-SEP-22,1.0,2021.0,10-JUL-21,MA,2,1,1,2021,1.0
1562101,3676142,WILLIE BORSTAD WELL DRILLING,,C,N,N,12566 BEMIDJI RD NE  ,BEMIDJI,MN,56601-4296,US,12566 BEMIDJI RD NE  ,BEMIDJI,MN,56601-4296,US,(218) 556-7179,,WILLIECC2014@GMAIL.COM,10-JUL-21,,,10-JUL-21,MN,2,2,0,0,
1562102,3676143,BEGETTED LLC,,A,N,N,18814 GAYLORD   ,REDFORD,MI,48240,US,18814 GAYLORD   ,REDFORD,MI,48240-1969,US,(313) 806-4213,,BEGETTED@GMAIL.COM,10-JUL-21,,,10-JUL-21,MI,1,1,0,0,
1562103,3676144,ANDREWS ADIRONDACK HOME SERVICES LLC,ADIRONDACK HOME SERVICES,C,N,N,33 CROSS ST  ,SCHROON LAKE,NY,12870-2624,US,33 CROSS ST  ,SCHROON LAKE,NY,12870-2624,US,(518) 321-8472,,ANDREWGUSHEE@GMAIL.COM,10-JUL-21,,,10-JUL-21,NY,2,2,0,0,
1562104,3676145,DMS LOGISTICS INC,,A,N,N,14933 DOGWOOD DR,ORLAND PARK,IL,60462,US,14933 DOGWOOD DR,ORLAND PARK,IL,60462,US,(708) 289-4942,,DMSLOGISTICS1@YAHOO.COM,04-AUG-22,14444.0,2021.0,10-JUL-21,IL,2,1,14444,2021,1.0
1562105,3676146,QUENTESSENTIAL TRANSIT LLC,,A,N,N,210 COUNTRY LAKE DR,HENDERSON,NC,27537-6227,US,210 COUNTRY LAKE DR,HENDERSON,NC,27537-6227,US,(757) 771-8655,,QUENTESSENTIALTRANSIT@GMAIL.COM,09-AUG-22,6000.0,2021.0,10-JUL-21,NC,1,1,6000,2021,1.0
1562106,3676147,KNLG LOGISTICS LLC,,A,N,N,1349 LYNFORD DR SW   ,ATLANTA,GA,30310,US,931 MONROE DR NE STE A102  ,ATLANTA,GA,30308-2183,US,(470) 900-7692,,KNLGLOGISTICS@GMAIL.COM,10-JUL-21,,,10-JUL-21,GA,2,8,0,0,
1562107,3676148,NEXT LEVEL HOTSHOT LLC,,C,N,N,2904 SAN JOSE DR,LONGVIEW,TX,75601-8628,US,2904 SAN JOSE DR,LONGVIEW,TX,75601-8628,US,(505) 609-4359,,NEXTLEVELHS2904@GMAIL.COM,24-AUG-22,10000.0,2021.0,10-JUL-21,TX,1,1,10000,2021,1.0
1562108,3676149,TOLEDO HOME IMPROVEMENT,WOODWORKING,C,N,N,1250 HIGHLAND ST,HOLLISTON,MA,01746-1696,US,1250 HIGHLAND ST,HOLLISTON,MA,01746-1696,US,(508) 280-3354,(774) 233-1937,GEOVANYTOLEDO@COMCAST.NET,15-JUL-21,20.0,2021.0,10-JUL-21,MA,1,1,20,2021,1.0
1562109,367615,DASHER SERVICE COMPANY INC,,C,N,N,1750 CLAY ROAD,VALDOSTA,GA,31601,US,1750 CLAY ROAD,VALDOSTA,GA,31601,US,(229) 244-1522,(229) 219-0586,DASHERSERVICECO@BELLSOUTH.NET,01-MAY-21,1.0,2021.0,27-SEP-89,GA,7,3,1,2021,1.0
1562110,3676150,FTP TRANSPORT LLC,,A,N,N,9256 BRATTON CT   ,INDIANAPOLIS,IN,46234,US,9256 BRATTON CT   ,INDIANAPOLIS,IN,46234-1680,US,(317) 294-4168,,FTPTRANSPORT@YAHOO.COM,10-JUL-21,,,10-JUL-21,IN,2,2,0,0,
1562111,3676151,SOLER PARTNER SERVICES,,C,N,N,5331 CROTON ST,ZEPHYRHILLS,FL,33541-0726,US,5331 CROTON ST,ZEPHYRHILLS,FL,33541-0726,US,(813) 724-4927,,SOLERPARTNERSERVICES@GMAIL.COM,12-JUL-21,1.0,2021.0,10-JUL-21,FL,1,1,1,2021,1.0
1562112,3676153,M&W DELIVERIES LLC,M&W DELIVERIES,A,N,N,1935 HIGHWAY 29 N   ,ANDERSON,SC,29621,US,1935 HIGHWAY 29 N   ,ANDERSON,SC,29621-3120,US,(864) 314-7678,,MANDWDELIVERIES@GMAIL.COM,10-JUL-21,,,10-JUL-21,SC,1,1,0,0,
1562113,3676155,LATTY TIMBER CO LLC,,C,N,N,10539 LONG ROY FARM RD,POTOSI,MO,63664-8620,US,PO BOX 145,POTOSI,MO,63664-0145,US,(573) 576-9018,,LATTYTIMBERCO@GMAIL.COM,27-JUL-22,25000.0,2022.0,10-JUL-21,MO,1,1,25000,2022,1.0
1562114,3676156,PG & JCALS TRANSPORTATION LLC,,A,N,N,8011 PARK VIEW BLVD,LA VISTA,NE,68128-3923,US,8011 PARK VIEW BLVD,LA VISTA,NE,68128-3923,US,(402) 708-2376,,PGJCAL2@GMAIL.COM,25-AUG-21,,,10-JUL-21,NE,6,5,0,0,
1562115,3676157,REGION CARRIER LOGISTICS LLC,,A,N,N,111 BARCLAY BLVD STE 366,LINCOLNSHIRE,IL,60069,US,7061 W NORTH AVE #278,OAK PARK,IL,60302,US,(708) 622-8933,(708) 722-4933,INFO@REGIONCARRIER.COM,25-JAN-22,,,10-JUL-21,IL,1,2,0,0,
1562116,3676158,H & S TRUCKIN INC,,A,N,N,5402 MESTO WAY,BAKERSFIELD,CA,93313,US,5402 MESTO WAY,BAKERSFIELD,CA,93313-9594,US,(609) 968-6380,,HSKALER2021@GMAIL.COM,05-SEP-22,62973.0,2021.0,10-JUL-21,CA,4,4,62973,2021,1.0
1562117,3676161,JESSE HOOVER,HOOVER TRANSPORT,A,N,N,26055 JERSEY AVE,MT STERLING,IA,52573-8011,US,26055 JERSEY AVE,MT STERLING,IA,52573-8011,US,(660) 216-8230,,HOOVERRENTAL1990@GMAIL.COM,10-JUL-21,,,10-JUL-21,IA,2,2,0,0,
1562118,3676162,HEIGHTENED SENSE TRANSPORT LLC,,A,N,N,733 COMMUNITY DRIVE,LA GRANGE PARK,IL,60526,US,733 COMMUNITY DRIVE,LA GRANGE PARK,IL,60526,US,(773) 491-9570,,JESSE.CORDERO83@GMAIL.COM,20-JAN-22,15662.0,2021.0,10-JUL-21,IL,1,1,15662,2021,1.0
1562119,3676164,SMAY ENTERPRISE INC,ROCKDALE PLUMBING AND DRAIN|EMERGENCY MITIGATION SPCIALIST|THE PLUMBING MEDIC,C,N,N,160 FEATHER LN  ,JACKSON,GA,30233-6277,US,160 FEATHER LN  ,JACKSON,GA,30233-6277,US,(843) 384-2760,,SARAH@SMAYINC.COM,10-JUL-21,,,10-JUL-21,GA,1,10,0,0,
1562120,3676165,MATA TRUCK LINE,,A,N,N,320 WILLIOWBROOK AVE,ROCK HILL,SC,29730,US,320 WILLOWBROOK AVE,ROCK HILL,SC,29730,US,(803) 992-5072,,CORPREWBRIAN@GMAIL.COM,06-SEP-22,1.0,2022.0,10-JUL-21,SC,1,1,1,2022,1.0
1562121,3676167,VZZ TRANSPORTATION,,C,N,N,3405 TOLEDO DR APT C  ,KILLEEN,TX,76542-3646,US,3405 TOLEDO DR APT C  ,KILLEEN,TX,76542-3646,US,(254) 228-8379,,WORLDSFINESTDOJAY@GMAIL.COM,10-JUL-21,,,10-JUL-21,TX,13,4,0,0,
1562122,3676168,LAFAVOR HEATING LLC,,C,N,N,12660 W SWAN RIVER DR  ,HIBBING,MN,55746-8049,US,PO BOX 301  ,HIBBING,MN,55746-0301,US,(218) 929-1335,,LAFAVORHEATING@GMAIL.COM,10-JUL-21,,,10-JUL-21,MN,1,3,0,0,
1562123,3676172,ELITE VERSATILE CLEANING LLC,,C,N,N,1467 ORCHARD PARK DR  ,COLUMBUS,OH,43232-6432,US,PO BOX 313  ,BRICE,OH,43109-0313,US,(614) 680-9400,,MSNICOLEMARTIN30@YAHOO.COM,10-JUL-21,,,10-JUL-21,OH,1,8,0,0,
