,DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,HM_FLAG,PC_FLAG,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,MAILING_STREET,MAILING_CITY,MAILING_STATE,MAILING_ZIP,MAILING_COUNTRY,TELEPHONE,FAX,EMAIL_ADDRESS,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,ADD_DATE,OIC_STATE,NBR_POWER_UNIT,DRIVER_TOTAL,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,VMT_SOURCE_ID
967800,2833269,HIGH HAWK MOVING,,C,N,N,632 FRANKLIN ST  ,ELIZABETHPORT,NJ,07206-1211,US,632 FRANKLIN ST  ,ELIZABETHPORT,NJ,07206-1211,US,(646) 606-1500,,HIGHHAWKMOVING@GMAIL.COM,17-DEC-15,,,17-DEC-15,NJ,1,3,0,0,
967801,2833273,RICHARD JIMMY HUETHER,FAT BOYS TOWING,C,N,N,989A HARMONY RD SE  ,ARAGON,GA,30104-1159,US,989A HARMONY RD SE  ,ARAGON,GA,30104-1159,US,(202) 521-1493,,SANDRA@DOTAUTHORITY.COM,17-DEC-15,,,17-DEC-15,GA,1,2,0,0,
967802,2833274,V&T EXPRESS LLC,,A,N,N,11607 CRYSTAL BROOK LN,KNOXVILLE,TN,37934,US,PO BOX 12112,KNOXVILLE,TN,37912,US,(503) 490-0687,,ELLATRUCKING25@YAHOO.COM,09-MAR-22,225000.0,2021.0,17-DEC-15,TN,2,2,225000,2021,1.0
967803,2833275,SILVER LAKE FAMILY FARMS G P,,C,N,N,31719 80TH ST,WASECA,MN,56093-5403,US,31719 80TH ST,WASECA,MN,56093-5403,US,(507) 835-3768,,HOEHN.ALEX@YAHOO.COM,17-DEC-15,,,17-DEC-15,MN,2,4,0,0,
967804,2833276,3-R-OUTDOORS SALES & SERVICE,3-R-OUTDOORS,C,N,N,4791 ROME NEW LONDON RD,ROME,NY,13440,US,4791 ROME NEW LONDON RD,ROME,NY,13440,US,(315) 334-3051,,RICHARDINROME44@YAHOO.COM,01-SEP-20,43000.0,2019.0,17-DEC-15,NY,1,1,0,0,
967805,2833277,EUROPEAN MARBLE & GRANITE LLC,,C,N,N,2575 S 600 W,SALT LAKE CTY,UT,84115-2943,US,2575 S 600 W,SALT LAKE CTY,UT,84115-2943,US,(801) 974-0333,(801) 974-5210,KENT@EUROSTONETILE.COM,17-DEC-15,,,17-DEC-15,UT,1,1,0,0,
967806,2833278,TVEIT ENTERPRISES LLC,,C,N,N,W7962 WAUGH RD,POYNETTE,WI,53955,US,W7962 WAUGH RD,POYNETTE,WI,53955,US,(608) 220-6949,,JOHNRTVEIT@GMAIL.COM,06-JUL-21,3000.0,2021.0,17-DEC-15,WI,2,1,3000,2021,1.0
967807,2833279,IRON HORSE DIESEL REPAIR,,C,N,N,2507 S BELT LINE RD  ,BALCH SPRINGS,TX,75181-2015,US,2507 S BELT LINE RD  ,BALCH SPRINGS,TX,75181-2015,US,(214) 804-0320,(877) 687-7472,IRONHORSEDIESELREPAIR@GMAIL.COM,17-DEC-15,,,17-DEC-15,TX,1,3,0,0,
967808,2833284,GTS TRANSPORT INC,,A,N,N,6641 BLEWETT AVE,VAN NUYS,CA,91406,US,6641 BLEWETT AVE,VAN NUYS,CA,91406,US,(323) 574-2221,(323) 469-1510,GTSJET@YAHOO.COM,19-JAN-22,72989.0,2021.0,17-DEC-15,CA,1,1,72989,2021,1.0
967809,2833286,A-TEAM READY MIX LLC,A-TEAM READY MIX,C,N,N,2739 W MIRA DR  ,QUEEN CREEK,AZ,85142-6747,US,2739 W MIRA DR  ,QUEEN CREEK,AZ,85142-6747,US,(480) 570-1486,,ATEAMREADYMIX@GMAIL.COM,17-DEC-15,,,17-DEC-15,AZ,1,2,0,0,
967810,2833287,HAMPTONS GUTTERS CORP,,C,N,N,6 SQUIRES LN  ,HAMPTON BAYS,NY,11946-2917,US,6 SQUIRES LN  ,HAMPTON BAYS,NY,11946-2917,US,(631) 745-2843,,RODRIGOHGC1@GMAIL.COM,17-DEC-15,,,17-DEC-15,NY,1,1,0,0,
967811,2833288,DAVID BASS,RAPID LOGISTICS,C,N,N,6230 W DORRELL LANE,LAS VEGAS,NV,89131,US,6230 W DORRELL LANE,LAS VEGAS,NV,89131,US,(702) 582-4740,(702) 749-9361,RAPIDLOG51@GMAIL.COM,11-JAN-22,10000.0,2021.0,17-DEC-15,NV,1,1,10000,2021,1.0
967812,2833289,ALPHA & OMEGA TRANSPORTATION INC,,A,N,N,4471 TYROLITE ST,JURUPA VALLEY,CA,92509,US,4471 TYROLITE ST,JURUPA VALLEY,CA,92509,US,(562) 314-5544,,ALPHAANDOMEGATRANSPORTATION22@GMAIL.COM,22-SEP-22,60000.0,2022.0,17-DEC-15,CA,2,2,60000,2022,1.0
967813,2833291,"SALMON FALLS, LP",SALMON FALLS RESORT,C,N,Y,16707 N TONGASS HWY  ,KETCHIKAN,AK,99901-8915,US,16707 N TONGASS HWY  ,KETCHIKAN,AK,99901-8915,US,(907) 225-2752,,DKRAUTH@HMCHOSPITALITY.COM,17-DEC-15,,,17-DEC-15,AK,5,12,0,0,
967814,2833293,JEFFRY A SMILEY,SMILEY CUSTOM HAY & CATTLE,C,N,N,85093 FITZGERALD LN,MILTON FRWTR,OR,97862-6883,US,85093 FITZGERALD LN,MILTON FRWTR,OR,97862-6883,US,(509) 520-5136,,SMILEYCUSTOMHAYANDCATTLE@YAHOO.COM,18-JAN-16,,,17-DEC-15,OR,1,1,0,0,
967815,2833295,ROCKY MOUNTAIN PALLET,,C,N,N,4608 AUSTIN BLUFFS PKWY  ,COLORADO SPGS,CO,80918-2938,US,3930 ENCINO ST  ,COLORADO SPGS,CO,80918-2811,US,(719) 332-2003,,YAMAHAFOX48@AOL.COM,17-DEC-15,,,17-DEC-15,CO,1,2,0,0,
967816,2833296,SPIRIT PRUNERS,,C,N,N,720 N COCHRAN ST,SPOKANE,WA,99201,US,720 N COCHRAN ST,SPOKANE,WA,99201,US,(509) 979-3496,,K@SPIRITPRUNERS.COM,25-AUG-21,25000.0,2020.0,17-DEC-15,WA,2,2,25000,2020,1.0
967817,2833297,JUSTIN DUNCAN,DUNCAN TRUCKING,A,N,N,201 N VAN BUREN ST,MILTON,IA,52570-9502,US,201 N VAN BUREN ST,MILTON,IA,52570-9502,US,(641) 799-7378,,JADUNCAN48@GMAIL.COM,09-JUL-21,389420.0,2020.0,17-DEC-15,IA,4,3,389420,2020,1.0
967818,2833298,TINAJERO TRANSPORT LLC,,C,N,N,248 GRAPE RD NW,LAKE PLACID,FL,33852-9771,US,248 GRAPE RD NW,LAKE PLACID,FL,33852,US,(863) 441-4149,,TTLLC@EMBARQMAIL.COM,08-DEC-21,100000.0,2021.0,17-DEC-15,FL,1,1,100000,2021,1.0
