,DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,HM_FLAG,PC_FLAG,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,MAILING_STREET,MAILING_CITY,MAILING_STATE,MAILING_ZIP,MAILING_COUNTRY,TELEPHONE,FAX,EMAIL_ADDRESS,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,ADD_DATE,OIC_STATE,NBR_POWER_UNIT,DRIVER_TOTAL,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,VMT_SOURCE_ID
707500,2487749,GREG BAXTERS HOT OIL SERVICE LLC,,A,N,N,1390 KING ORCHARD RD,SAREPTA,LA,71071,US,1390 KING ORCHARD RD,SAREPTA,LA,71071,US,(318) 455-5020,(318) 994-2239,GREGBAXTERSHOTOILSERVICE@YAHOO.COM,22-JUL-21,29256.0,2020.0,24-MAR-14,LA,1.0,1,29256,2020,1.0
707501,2487750,FTI TRANSPORTATION,,C,N,N,606 LEE  RD,ORLANDO,FL,32804,US,6611 ALADDIN DRIVE,ORLANDO,FL,32818,US,(407) 591-0498,,OLSONFELIX17@GMAIL.COM,24-MAR-14,,,24-MAR-14,FL,1.0,1,0,0,
707502,2487752,MICHAEL CONROY,CONROY'S LAWN CARE & PROPERTY MAINTENANCE LLC,C,N,N,67 VISTA DR,EAST HAVEN,CT,06512,US,67 VISTA DR,EAST HAVEN,CT,06512,US,(203) 654-6655,,,24-MAR-14,,,24-MAR-14,CT,2.0,1,0,0,
707503,2487753,CONSTRUCTION & DEMOLITION SERVICES LLC,,C,N,N,415 WEST PARRISH ST,STATESBORO,GA,30458,US,POBOX 2032,STATESBORO,GA,30459,US,(912) 682-9521,,,24-MAR-14,,,24-MAR-14,GA,1.0,1,0,0,
707504,2487754,JOHN JACKLITCH III,JOHN'S LAWN CARE,C,N,N,33521 HWY 10,MOTLEY,MN,56466,US,33521 HWY 10,MOTLEY,MN,56466,US,(218) 838-4436,,,24-MAR-14,,,24-MAR-14,MN,,1,0,0,
707505,2487756,PAJ EXPRESS LLC,,C,N,N,2611 SPRUCE STREET,UNION,NJ,07083,US,2611 SPRUCE STREET,UNION,NJ,07083,US,(862) 763-0182,,PAJEXPRESS@GMAIL.COM,08-JUN-15,,,24-MAR-14,NJ,1.0,1,0,0,
707506,2487757,THIS N THAT OUTLET LLC,THIS N THAT AMISH OUTLET,A,N,N,5451 OLD ALEXANDRIA PIKE,WARRENTON,VA,20187,US,5313 RITCHIE RD,BEALETON,VA,22712,US,(540) 341-7883,(540) 341-7885,BORDWAY@PAYNESLINESANDSIGNS.COM,09-AUG-21,93000.0,2021.0,24-MAR-14,VA,3.0,2,93000,2021,1.0
707507,2487758,ENVIROCARE TURF MANAGEMENT INC,,C,N,N,77 ROBIN LANE,NEW COLUMBIA,PA,17856,US,77 ROBIN LANE,NEW COLUMBIA,PA,17856,US,(570) 568-0185,(570) 568-0184,,28-DEC-21,26299.0,2020.0,24-MAR-14,PA,2.0,1,26299,2020,1.0
707508,2487759,WADE VAUGHN,WADE,C,N,N,11685 UPPER COLUMBUS HIGHWAY,COKER,AL,35452,US,11685 UPPER COLUMBUS HIGHWAY,COKER,AL,35452,US,(205) 339-2057,,,24-MAR-14,,,24-MAR-14,AL,1.0,1,0,0,
707509,2487760,JEFFREY W DUTTON,JEFF DUTTON,C,N,N,196 BUCK CREEK CIRCLE,GRIFFIN,GA,30224,US,196 BUCK CREEK CIRCLE,GRIFFIN,GA,30224,US,(770) 227-7516,,,24-MAR-14,12000.0,2014.0,24-MAR-14,GA,1.0,1,0,0,
707510,2487762,5M SEPTIC SYSTEMS LLC,,C,N,N,4236 FM 340,HALLETTSVILLE,TX,77964,US,4236 FM 340,HALLETTSVILLE,TX,77964,US,(361) 798-9320,(361) 798-4143,TONYMACHIREK@YAHO.COM,21-MAR-22,45000.0,2021.0,24-MAR-14,TX,1.0,1,45000,2021,1.0
707511,2487763,GARCIAS LLC,,A,N,N,1700 MARKET ST NW APT 1104,ALBUQUERQUE,NM,87120,US,68 HIGH MESA RD,LOS LUNAS,NM,87031,US,(505) 385-1487,,GARCIASLLC28@GMAIL.COM,22-MAR-22,38630.0,2021.0,24-MAR-14,NM,2.0,2,38630,2021,1.0
707512,2487764,ROOKS FABRICATION,,C,N,N,6500 S 39TH W AVE,TULSA,OK,74132-1242,US,6500 S 39TH W AVE,TULSA,OK,74132-1242,US,(918) 447-1990,(918) 447-1991,ROOKSFABRICATION@TULSACOXMAIL.COM,24-MAR-14,,,24-MAR-14,OK,1.0,1,0,0,
707513,2487765,NW CUSTOM PLUMBING LLC,,C,N,N,17146 BRITT RD,MT VERNON,WA,98273,US,17146 BRITT RD,MT VERNON,WA,98273,US,(206) 660-7442,,BRENT.NWCP@OUTLOOK.COM ,18-MAY-22,10000.0,2021.0,24-MAR-14,WA,1.0,1,10000,2021,1.0
707514,2487767,PLAINVIEW AUTO AND TRUCK CENTER INC,PLAINVIEW SIGNS AND GRAPHICS,C,N,N,6154 PLAINVIEW HWY,DUNN,NC,28334,US,6154 PLAINVIEW HWY,DUNN,NC,28334,US,(919) 892-5919,,,24-MAR-14,,,24-MAR-14,NC,1.0,1,0,0,
707515,2487768,WHAT A RIDE TRANSPORTATION LLC,,A,N,N,75255 ROAD 419,EUSTIS,NE,69028,US,75255 ROAD 419,EUSTIS,NE,69028,US,(308) 320-4191,(308) 537-4221,WMJY62@HOTMAIL.COM,17-JUN-22,75000.0,2021.0,24-MAR-14,NE,1.0,1,75000,2021,1.0
707516,2487769,BRUDER INC,,C,N,N,16900 ROCKSIDE RD,MAPLE HTS,OH,44137,US,16900 ROCKSIDE RD,MAPLE HTS,OH,44137,US,(216) 791-9800,(216) 791-5116,SWOLD@BRUDERINC.COM,04-MAY-22,100000.0,2021.0,24-MAR-14,OH,5.0,5,100000,2021,1.0
707517,2487770,SHEA LANDSCAPING INC,,C,N,N,80 OTIS ROAD,ISLIP TERRACE,NY,11752,US,80 OTIS ROAD,ISLIP TERRACE,NY,11752,US,(631) 650-0866,,SHEALANDSCAPINGINC@GMAIL.COM,27-DEC-21,13000.0,2020.0,24-MAR-14,NY,2.0,1,13000,2020,1.0
707518,2487771,INTEGRITY IRON LLC,,C,N,N,11965 TOWER RD,COMMERCE CITY,CO,80022,US,11965 TOWER RD,COMMERCE CITY,CO,80640,US,(720) 287-0012,,MELANIE@INTEGRITY-IRON.NET,26-APR-22,2018.0,2022.0,24-MAR-14,CO,1.0,1,2018,2022,1.0
707519,2487772,JOANNE KOSTECKY GARDEN DESIGN INC,,C,N,N,4905 HAMILTON BLVD,ALLENTOWN,PA,18106,US,4905 HAMILTON BLVD,ALLENTOWN,PA,18106,US,(610) 704-4592,,,24-MAR-14,,,24-MAR-14,PA,5.0,12,0,0,
707520,2487774,B & C TRUCKING LLC,,C,N,N,28 MORNINGSIDE DR,ROSWELL,NM,88201,US,28 MORNINGSIDE DR,ROSWELL,NM,88201,US,(575) 910-7741,,,24-MAR-14,,,24-MAR-14,NM,1.0,1,0,0,
